cod_mun,municipio
17-03-004,Aigües
17-03-005,Albatera
17-03-006,Alcalalí
17-03-007,Alcocer de Planes
17-03-008,Alcoleja
17-03-009,Alcoy/Alcoi
17-03-010,Alfafara
17-03-011,"Alfàs del Pi, l'"
17-03-012,Algorfa
17-03-013,Algueña
17-03-014,Alicante/Alacant
17-03-015,Almoradí
17-03-016,Almudaina
17-03-017,"Alqueria d'Asnar, l'"
17-03-018,Altea
17-03-019,Aspe
17-03-020,Balones
17-03-021,Banyeres de Mariola
17-03-022,Benasau
17-03-023,Beneixama
17-03-024,Benejúzar
17-03-025,Benferri
17-03-026,Beniarbeig
17-03-027,Beniardá
17-03-028,Beniarrés
17-03-029,Benigembla
17-03-030,Benidoleig
17-03-031,Benidorm
17-03-032,Benifallim
17-03-033,Benifato
17-03-034,Benijófar
17-03-035,Benilloba
17-03-036,Benillup
17-03-037,Benimantell
17-03-038,Benimarfull
17-03-039,Benimassot
17-03-040,Benimeli
17-03-041,Benissa
17-03-042,"Benitachell/Poble Nou de Benitatxell, el"
17-03-043,Biar
17-03-044,Bigastro
17-03-045,Bolulla
17-03-046,Busot
17-03-047,Calp
17-03-048,Callosa d'en Sarrià
17-03-049,Callosa de Segura
17-03-050,"Campello, el"
17-03-051,"Campo de Mirra/Camp de Mirra, el"
17-03-052,Cañada
17-03-053,Castalla
17-03-054,Castell de Castells
17-03-055,Catral
17-03-056,Cocentaina
17-03-057,Confrides
17-03-058,Cox
17-03-059,Crevillent
17-03-060,Quatretondeta
17-03-061,Daya Nueva
17-03-062,Daya Vieja
17-03-063,Dénia
17-03-064,Dolores
17-03-065,Elche/Elx
17-03-066,Elda
17-03-067,Facheca
17-03-068,Famorca
17-03-069,Finestrat
17-03-070,Formentera del Segura
17-03-071,Gata de Gorgos
17-03-072,Gaianes
17-03-073,Gorga
17-03-074,Granja de Rocamora
17-03-075,"Castell de Guadalest, el"
17-03-076,Guardamar del Segura
17-03-077,"Fondó de les Neus, el/Hondón de las Nieves"
17-03-078,Hondón de los Frailes
17-03-079,Ibi
17-03-080,Jacarilla
17-03-081,Xaló
17-03-082,Jávea/Xàbia
17-03-083,Jijona/Xixona
17-03-084,"Lorcha/Orxa, l'"
17-03-085,Llíber
17-03-086,Millena
17-03-088,Monforte del Cid
17-03-089,Monóvar/Monòver
17-03-090,Mutxamel
17-03-091,Murla
17-03-092,Muro de Alcoy
17-03-093,Novelda
17-03-094,"Nucia, la"
17-03-095,Ondara
17-03-096,Onil
17-03-097,Orba
17-03-098,Orxeta
17-03-099,Orihuela
17-03-100,Parcent
17-03-101,Pedreguer
17-03-102,Pego
17-03-103,Penàguila
17-03-104,Petrer
17-03-105,"Pinós, el/Pinoso"
17-03-106,Planes
17-03-107,Polop
17-03-109,Rafal
17-03-110,"Ràfol d'Almúnia, el"
17-03-111,Redován
17-03-112,Relleu
17-03-113,Rojales
17-03-114,"Romana, la"
17-03-115,Sagra
17-03-116,Salinas
17-03-117,Sanet y Negrals
17-03-118,San Fulgencio
17-03-119,Sant Joan d'Alacant
17-03-120,San Miguel de Salinas
17-03-121,Santa Pola
17-03-122,San Vicente del Raspeig/Sant Vicent del Raspeig
17-03-123,Sax
17-03-124,Sella
17-03-125,Senija
17-03-127,Tàrbena
17-03-128,Teulada
17-03-129,Tibi
17-03-130,Tollos
17-03-131,Tormos
17-03-132,"Torremanzanas/Torre de les Maçanes, la"
17-03-133,Torrevieja
17-03-134,"Vall d'Alcalà, la"
17-03-135,"Vall d'Ebo, la"
17-03-136,Vall de Gallinera
17-03-137,"Vall de Laguar, la"
17-03-138,"Verger, el"
17-03-139,"Villajoyosa/Vila Joiosa, la"
17-03-140,Villena
17-03-901,"Poblets, els"
17-03-902,Pilar de la Horadada
17-03-903,"Montesinos, Los"
17-03-904,San Isidro
01-04-001,Abla
01-04-002,Abrucena
01-04-003,Adra
01-04-004,Albanchez
01-04-005,Alboloduy
01-04-006,Albox
01-04-007,Alcolea
01-04-008,Alcóntar
01-04-009,Alcudia de Monteagud
01-04-010,Alhabia
01-04-011,Alhama de Almería
01-04-012,Alicún
01-04-013,Almería
01-04-014,Almócita
01-04-015,Alsodux
01-04-016,Antas
01-04-017,Arboleas
01-04-018,Armuña de Almanzora
01-04-019,Bacares
01-04-020,Bayárcal
01-04-021,Bayarque
01-04-022,Bédar
01-04-023,Beires
01-04-024,Benahadux
01-04-026,Benitagla
01-04-027,Benizalón
01-04-028,Bentarique
01-04-029,Berja
01-04-030,Canjáyar
01-04-031,Cantoria
01-04-032,Carboneras
01-04-033,Castro de Filabres
01-04-034,Cóbdar
01-04-035,Cuevas del Almanzora
01-04-036,Chercos
01-04-037,Chirivel
01-04-038,Dalías
01-04-041,Enix
01-04-043,Felix
01-04-044,Fines
01-04-045,Fiñana
01-04-046,Fondón
01-04-047,Gádor
01-04-048,"Gallardos, Los"
01-04-049,Garrucha
01-04-050,Gérgal
01-04-051,Huécija
01-04-052,Huércal de Almería
01-04-053,Huércal-Overa
01-04-054,Íllar
01-04-055,Instinción
01-04-056,Laroya
01-04-057,Láujar de Andarax
01-04-058,Líjar
01-04-059,Lubrín
01-04-060,Lucainena de las Torres
01-04-061,Lúcar
01-04-062,Macael
01-04-063,María
01-04-064,Mojácar
01-04-065,Nacimiento
01-04-066,Níjar
01-04-067,Ohanes
01-04-068,Olula de Castro
01-04-069,Olula del Río
01-04-070,Oria
01-04-071,Padules
01-04-072,Partaloa
01-04-073,Paterna del Río
01-04-074,Pechina
01-04-075,Pulpí
01-04-076,Purchena
01-04-077,Rágol
01-04-078,Rioja
01-04-079,Roquetas de Mar
01-04-080,Santa Cruz de Marchena
01-04-081,Santa Fe de Mondújar
01-04-082,Senés
01-04-083,Serón
01-04-084,Sierro
01-04-085,Somontín
01-04-086,Sorbas
01-04-087,Suflí
01-04-088,Tabernas
01-04-089,Taberno
01-04-090,Tahal
01-04-091,Terque
01-04-092,Tíjola
01-04-093,Turre
01-04-094,Turrillas
01-04-095,Uleila del Campo
01-04-096,Urrácal
01-04-097,Velefique
01-04-098,Vélez-Blanco
01-04-099,Vélez-Rubio
01-04-100,Vera
01-04-101,Viator
01-04-102,Vícar
01-04-103,Zurgena
01-04-901,"Tres Villas, Las"
01-04-902,"Ejido, El"
01-04-903,"Mojonera, La"
08-05-001,Adanero
08-05-002,"Adrada, La"
08-05-005,Albornos
08-05-007,Aldeanueva de Santa Cruz
08-05-008,Aldeaseca
08-05-010,"Aldehuela, La"
08-05-012,Amavida
08-05-013,"Arenal, El"
08-05-014,Arenas de San Pedro
08-05-015,Arevalillo
08-05-016,Arévalo
08-05-017,Aveinte
08-05-018,Avellaneda
08-05-019,Ávila
08-05-021,"Barco de Ávila, El"
08-05-022,"Barraco, El"
08-05-023,Barromán
08-05-024,Becedas
08-05-025,Becedillas
08-05-026,Bercial de Zapardiel
08-05-027,"Berlanas, Las"
08-05-029,Bernuy-Zapardiel
08-05-030,Berrocalejo de Aragona
08-05-033,Blascomillán
08-05-034,Blasconuño de Matacabras
08-05-035,Blascosancho
08-05-036,"Bohodón, El"
08-05-037,Bohoyo
08-05-038,Bonilla de la Sierra
08-05-039,Brabos
08-05-040,Bularros
08-05-041,Burgohondo
08-05-042,Cabezas de Alambre
08-05-043,Cabezas del Pozo
08-05-044,Cabezas del Villar
08-05-045,Cabizuela
08-05-046,Canales
08-05-047,Candeleda
08-05-048,Cantiveros
08-05-049,Cardeñosa
08-05-051,"Carrera, La"
08-05-052,Casas del Puerto
08-05-053,Casasola
08-05-054,Casavieja
08-05-055,Casillas
08-05-056,Castellanos de Zapardiel
08-05-057,Cebreros
08-05-058,Cepeda la Mora
08-05-059,Cillán
08-05-060,Cisla
08-05-061,"Colilla, La"
08-05-062,Collado de Contreras
08-05-063,Collado del Mirón
08-05-064,Constanzana
08-05-065,Crespos
08-05-066,Cuevas del Valle
08-05-067,Chamartín
08-05-069,Donjimeno
08-05-070,Donvidas
08-05-072,Espinosa de los Caballeros
08-05-073,Flores de Ávila
08-05-074,Fontiveros
08-05-075,Fresnedilla
08-05-076,"Fresno, El"
08-05-077,Fuente el Saúz
08-05-078,Fuentes de Año
08-05-079,Gallegos de Altamiros
08-05-080,Gallegos de Sobrinos
08-05-081,Garganta del Villar
08-05-082,Gavilanes
08-05-083,Gemuño
08-05-084,Gilbuena
08-05-085,Gil García
08-05-086,Gimialcón
08-05-087,Gotarrendura
08-05-088,Grandes y San Martín
08-05-089,Guisando
08-05-090,Gutierre-Muñoz
08-05-092,Hernansancho
08-05-093,Herradón de Pinares
08-05-094,Herreros de Suso
08-05-095,Higuera de las Dueñas
08-05-096,"Hija de Dios, La"
08-05-097,"Horcajada, La"
08-05-099,Horcajo de las Torres
08-05-100,"Hornillo, El"
08-05-101,Hoyocasero
08-05-102,"Hoyo de Pinares, El"
08-05-103,Hoyorredondo
08-05-104,Hoyos del Collado
08-05-105,Hoyos del Espino
08-05-106,Hoyos de Miguel Muñoz
08-05-107,Hurtumpascual
08-05-108,Junciana
08-05-109,Langa
08-05-110,Lanzahíta
08-05-112,"Losar del Barco, El"
08-05-113,"Llanos de Tormes, Los"
08-05-114,Madrigal de las Altas Torres
08-05-115,Maello
08-05-116,Malpartida de Corneja
08-05-117,Mamblas
08-05-118,Mancera de Arriba
08-05-119,Manjabálago y Ortigosa de Rioalmar
08-05-120,Marlín
08-05-121,Martiherrero
08-05-122,Martínez
08-05-123,Mediana de Voltoya
08-05-124,Medinilla
08-05-125,Mengamuñoz
08-05-126,Mesegar de Corneja
08-05-127,Mijares
08-05-128,Mingorría
08-05-129,"Mirón, El"
08-05-130,Mironcillo
08-05-131,Mirueña de los Infanzones
08-05-132,Mombeltrán
08-05-133,Monsalupe
08-05-134,Moraleja de Matacabras
08-05-135,Muñana
08-05-136,Muñico
08-05-138,Muñogalindo
08-05-139,Muñogrande
08-05-140,Muñomer del Peco
08-05-141,Muñopepe
08-05-142,Muñosancho
08-05-143,Muñotello
08-05-144,Narrillos del Álamo
08-05-145,Narrillos del Rebollar
08-05-147,Narros del Castillo
08-05-148,Narros del Puerto
08-05-149,Narros de Saldueña
08-05-151,Navacepedilla de Corneja
08-05-152,Nava de Arévalo
08-05-153,Nava del Barco
08-05-154,Navadijos
08-05-155,Navaescurial
08-05-156,Navahondilla
08-05-157,Navalacruz
08-05-158,Navalmoral
08-05-159,Navalonguilla
08-05-160,Navalosa
08-05-161,Navalperal de Pinares
08-05-162,Navalperal de Tormes
08-05-163,Navaluenga
08-05-164,Navaquesera
08-05-165,Navarredonda de Gredos
08-05-166,Navarredondilla
08-05-167,Navarrevisca
08-05-168,"Navas del Marqués, Las"
08-05-169,Navatalgordo
08-05-170,Navatejares
08-05-171,Neila de San Miguel
08-05-172,Niharra
08-05-173,Ojos-Albos
08-05-174,Orbita
08-05-175,"Oso, El"
08-05-176,Padiernos
08-05-177,Pajares de Adaja
08-05-178,Palacios de Goda
08-05-179,Papatrigo
08-05-180,"Parral, El"
08-05-181,Pascualcobo
08-05-182,Pedro Bernardo
08-05-183,Pedro-Rodríguez
08-05-184,Peguerinos
08-05-185,Peñalba de Ávila
08-05-186,Piedrahíta
08-05-187,Piedralaves
08-05-188,Poveda
08-05-189,Poyales del Hoyo
08-05-190,Pozanco
08-05-191,Pradosegar
08-05-192,Puerto Castilla
08-05-193,Rasueros
08-05-194,Riocabado
08-05-195,Riofrío
08-05-196,Rivilla de Barajas
08-05-197,Salobral
08-05-198,Salvadiós
08-05-199,San Bartolomé de Béjar
08-05-200,San Bartolomé de Corneja
08-05-201,San Bartolomé de Pinares
08-05-204,Sanchidrián
08-05-205,Sanchorreja
08-05-206,San Esteban de los Patos
08-05-207,San Esteban del Valle
08-05-208,San Esteban de Zapardiel
08-05-209,San García de Ingelmos
08-05-210,San Juan de la Encinilla
08-05-211,San Juan de la Nava
08-05-212,San Juan del Molinillo
08-05-213,San Juan del Olmo
08-05-214,San Lorenzo de Tormes
08-05-215,San Martín de la Vega del Alberche
08-05-216,San Martín del Pimpollar
08-05-217,San Miguel de Corneja
08-05-218,San Miguel de Serrezuela
08-05-219,San Pascual
08-05-220,San Pedro del Arroyo
08-05-221,Santa Cruz del Valle
08-05-222,Santa Cruz de Pinares
08-05-224,Santa María del Arroyo
08-05-225,Santa María del Berrocal
08-05-226,Santa María de los Caballeros
08-05-227,Santa María del Tiétar
08-05-228,Santiago del Collado
08-05-229,Santo Domingo de las Posadas
08-05-230,Santo Tomé de Zabarcos
08-05-231,San Vicente de Arévalo
08-05-232,"Serrada, La"
08-05-233,Serranillos
08-05-234,Sigeres
08-05-235,Sinlabajos
08-05-236,Solana de Ávila
08-05-237,Solana de Rioalmar
08-05-238,Solosancho
08-05-239,Sotalbo
08-05-240,Sotillo de la Adrada
08-05-241,"Tiemblo, El"
08-05-242,Tiñosillos
08-05-243,Tolbaños
08-05-244,Tormellas
08-05-245,Tornadizos de Ávila
08-05-246,Tórtoles
08-05-247,"Torre, La"
08-05-249,Umbrías
08-05-251,Vadillo de la Sierra
08-05-252,Valdecasa
08-05-253,Vega de Santa María
08-05-254,Velayos
08-05-256,Villaflor
08-05-257,Villafranca de la Sierra
08-05-258,Villanueva de Gómez
08-05-259,Villanueva del Aceral
08-05-260,Villanueva del Campillo
08-05-261,Villar de Corneja
08-05-262,Villarejo del Valle
08-05-263,Villatoro
08-05-264,Viñegra de Moraña
08-05-265,Vita
08-05-266,Zapardiel de la Cañada
08-05-267,Zapardiel de la Ribera
08-05-901,San Juan de Gredos
08-05-902,Santa María del Cubillo
08-05-903,Diego del Carpio
08-05-904,Santiago del Tormes
08-05-905,Villanueva de Ávila
10-06-001,Acedera
10-06-002,Aceuchal
10-06-003,Ahillones
10-06-004,Alange
10-06-005,"Albuera, La"
10-06-006,Alburquerque
10-06-007,Alconchel
10-06-008,Alconera
10-06-009,Aljucén
10-06-010,Almendral
10-06-011,Almendralejo
10-06-012,Arroyo de San Serván
10-06-013,Atalaya
10-06-014,Azuaga
10-06-015,Badajoz
10-06-016,Barcarrota
10-06-017,Baterno
10-06-018,Benquerencia de la Serena
10-06-019,Berlanga
10-06-020,Bienvenida
10-06-021,Bodonal de la Sierra
10-06-022,Burguillos del Cerro
10-06-023,Cabeza del Buey
10-06-024,Cabeza la Vaca
10-06-025,Calamonte
10-06-026,Calera de León
10-06-027,Calzadilla de los Barros
10-06-028,Campanario
10-06-029,Campillo de Llerena
10-06-030,Capilla
10-06-031,Carmonita
10-06-032,"Carrascalejo, El"
10-06-033,Casas de Don Pedro
10-06-034,Casas de Reina
10-06-035,Castilblanco
10-06-036,Castuera
10-06-037,"Codosera, La"
10-06-038,Cordobilla de Lácara
10-06-039,"Coronada, La"
10-06-040,Corte de Peleas
10-06-041,Cristina
10-06-042,Cheles
10-06-043,Don Álvaro
10-06-044,Don Benito
10-06-045,Entrín Bajo
10-06-046,Esparragalejo
10-06-047,Esparragosa de la Serena
10-06-048,Esparragosa de Lares
10-06-049,Feria
10-06-050,Fregenal de la Sierra
10-06-051,Fuenlabrada de los Montes
10-06-052,Fuente de Cantos
10-06-053,Fuente del Arco
10-06-054,Fuente del Maestre
10-06-055,Fuentes de León
10-06-056,Garbayuela
10-06-057,Garlitos
10-06-058,"Garrovilla, La"
10-06-059,Granja de Torrehermosa
10-06-060,Guareña
10-06-061,"Haba, La"
10-06-062,Helechosa de los Montes
10-06-063,Herrera del Duque
10-06-064,Higuera de la Serena
10-06-065,Higuera de Llerena
10-06-066,Higuera de Vargas
10-06-067,Higuera la Real
10-06-068,Hinojosa del Valle
10-06-069,Hornachos
10-06-070,Jerez de los Caballeros
10-06-071,"Lapa, La"
10-06-072,Lobón
10-06-073,Llera
10-06-074,Llerena
10-06-075,Magacela
10-06-076,Maguilla
10-06-077,Malcocinado
10-06-078,Malpartida de la Serena
10-06-079,Manchita
10-06-080,Medellín
10-06-081,Medina de las Torres
10-06-082,Mengabril
10-06-083,Mérida
10-06-084,Mirandilla
10-06-085,Monesterio
10-06-086,Montemolín
10-06-087,Monterrubio de la Serena
10-06-088,Montijo
10-06-089,"Morera, La"
10-06-090,"Nava de Santiago, La"
10-06-091,Navalvillar de Pela
10-06-092,Nogales
10-06-093,Oliva de la Frontera
10-06-094,Oliva de Mérida
10-06-095,Olivenza
10-06-096,Orellana de la Sierra
10-06-097,Orellana la Vieja
10-06-098,Palomas
10-06-099,"Parra, La"
10-06-100,Peñalsordo
10-06-101,Peraleda del Zaucejo
10-06-102,Puebla de Alcocer
10-06-103,Puebla de la Calzada
10-06-104,Puebla de la Reina
10-06-105,Puebla del Maestre
10-06-106,Puebla del Prior
10-06-107,Puebla de Obando
10-06-108,Puebla de Sancho Pérez
10-06-109,Quintana de la Serena
10-06-110,Reina
10-06-111,Rena
10-06-112,Retamal de Llerena
10-06-113,Ribera del Fresno
10-06-114,Risco
10-06-115,"Roca de la Sierra, La"
10-06-116,Salvaleón
10-06-117,Salvatierra de los Barros
10-06-118,Sancti-Spíritus
10-06-119,San Pedro de Mérida
10-06-120,Santa Amalia
10-06-121,Santa Marta
10-06-122,"Santos de Maimona, Los"
10-06-123,San Vicente de Alcántara
10-06-124,Segura de León
10-06-125,Siruela
10-06-126,Solana de los Barros
10-06-127,Talarrubias
10-06-128,Talavera la Real
10-06-129,Táliga
10-06-130,Tamurejo
10-06-131,Torre de Miguel Sesmero
10-06-132,Torremayor
10-06-133,Torremejía
10-06-134,Trasierra
10-06-135,Trujillanos
10-06-136,Usagre
10-06-137,Valdecaballeros
10-06-138,Valdetorres
10-06-139,Valencia de las Torres
10-06-140,Valencia del Mombuey
10-06-141,Valencia del Ventoso
10-06-142,Valverde de Burguillos
10-06-143,Valverde de Leganés
10-06-144,Valverde de Llerena
10-06-145,Valverde de Mérida
10-06-146,Valle de la Serena
10-06-147,Valle de Matamoros
10-06-148,Valle de Santa Ana
10-06-149,Villafranca de los Barros
10-06-150,Villagarcía de la Torre
10-06-151,Villagonzalo
10-06-152,Villalba de los Barros
10-06-153,Villanueva de la Serena
10-06-154,Villanueva del Fresno
10-06-155,Villar del Rey
10-06-156,Villar de Rena
10-06-157,Villarta de los Montes
10-06-158,Zafra
10-06-159,Zahínos
10-06-160,Zalamea de la Serena
10-06-161,Zarza-Capilla
10-06-162,"Zarza, La"
10-06-901,Valdelacalzada
10-06-902,Pueblonuevo del Guadiana
04-07-001,Alaró
04-07-002,Alaior
04-07-003,Alcúdia
04-07-004,Algaida
04-07-005,Andratx
04-07-006,Artà
04-07-007,Banyalbufar
04-07-008,Binissalem
04-07-009,Búger
04-07-010,Bunyola
04-07-011,Calvià
04-07-012,Campanet
04-07-013,Campos
04-07-014,Capdepera
04-07-015,Ciutadella de Menorca
04-07-016,Consell
04-07-017,Costitx
04-07-018,Deià
04-07-019,Escorca
04-07-020,Esporles
04-07-021,Estellencs
04-07-022,Felanitx
04-07-023,Ferreries
04-07-024,Formentera
04-07-025,Fornalutx
04-07-026,Eivissa
04-07-027,Inca
04-07-028,Lloret de Vistalegre
04-07-029,Lloseta
04-07-030,Llubí
04-07-031,Llucmajor
04-07-032,Maó-Mahón
04-07-033,Manacor
04-07-034,Mancor de la Vall
04-07-035,Maria de la Salut
04-07-036,Marratxí
04-07-037,"Mercadal, Es"
04-07-038,Montuïri
04-07-039,Muro
04-07-040,Palma
04-07-041,Petra
04-07-042,Pollença
04-07-043,Porreres
04-07-044,"Pobla, Sa"
04-07-045,Puigpunyent
04-07-046,Sant Antoni de Portmany
04-07-047,Sencelles
04-07-048,Sant Josep de sa Talaia
04-07-049,Sant Joan
04-07-050,Sant Joan de Labritja
04-07-051,Sant Llorenç des Cardassar
04-07-052,Sant Lluís
04-07-053,Santa Eugènia
04-07-054,Santa Eulària des Riu
04-07-055,Santa Margalida
04-07-056,Santa María del Camí
04-07-057,Santanyí
04-07-058,Selva
04-07-059,"Salines, Ses"
04-07-060,Sineu
04-07-061,Sóller
04-07-062,Son Servera
04-07-063,Valldemossa
04-07-064,"Castell, Es"
04-07-065,Vilafranca de Bonany
04-07-901,Ariany
04-07-902,"Migjorn Gran, Es"
09-08-001,Abrera
09-08-002,Aguilar de Segarra
09-08-003,Alella
09-08-004,Alpens
09-08-005,"Ametlla del Vallès, L'"
09-08-006,Arenys de Mar
09-08-007,Arenys de Munt
09-08-008,Argençola
09-08-009,Argentona
09-08-010,Artés
09-08-011,Avià
09-08-012,Avinyó
09-08-013,Avinyonet del Penedès
09-08-014,Aiguafreda
09-08-015,Badalona
09-08-016,Bagà
09-08-017,Balenyà
09-08-018,Balsareny
09-08-019,Barcelona
09-08-020,Begues
09-08-021,Bellprat
09-08-022,Berga
09-08-023,Bigues i Riells
09-08-024,Borredà
09-08-025,"Bruc, El"
09-08-026,"Brull, El"
09-08-027,"Cabanyes, Les"
09-08-028,Cabrera d'Anoia
09-08-029,Cabrera de Mar
09-08-030,Cabrils
09-08-031,Calaf
09-08-032,Caldes d'Estrac
09-08-033,Caldes de Montbui
09-08-034,Calders
09-08-035,Calella
09-08-036,Calonge de Segarra
09-08-037,Calldetenes
09-08-038,Callús
09-08-039,Campins
09-08-040,Canet de Mar
09-08-041,Canovelles
09-08-042,Cànoves i Samalús
09-08-043,Canyelles
09-08-044,Capellades
09-08-045,Capolat
09-08-046,Cardedeu
09-08-047,Cardona
09-08-048,Carme
09-08-049,Casserres
09-08-050,Castellar del Riu
09-08-051,Castellar del Vallès
09-08-052,Castellar de n'Hug
09-08-053,Castellbell i el Vilar
09-08-054,Castellbisbal
09-08-055,Castellcir
09-08-056,Castelldefels
09-08-057,Castell de l'Areny
09-08-058,Castellet i la Gornal
09-08-059,Castellfollit del Boix
09-08-060,Castellfollit de Riubregós
09-08-061,Castellgalí
09-08-062,Castellnou de Bages
09-08-063,Castellolí
09-08-064,Castellterçol
09-08-065,Castellví de la Marca
09-08-066,Castellví de Rosanes
09-08-067,Centelles
09-08-068,Cervelló
09-08-069,Collbató
09-08-070,Collsuspina
09-08-071,Copons
09-08-072,Corbera de Llobregat
09-08-073,Cornellà de Llobregat
09-08-074,Cubelles
09-08-075,Dosrius
09-08-076,Esparreguera
09-08-077,Esplugues de Llobregat
09-08-078,"Espunyola, L'"
09-08-079,"Estany, L'"
09-08-080,Fígols
09-08-081,Fogars de Montclús
09-08-082,Fogars de la Selva
09-08-083,Folgueroles
09-08-084,Fonollosa
09-08-085,Font-rubí
09-08-086,"Franqueses del Vallès, Les"
09-08-087,Gallifa
09-08-088,"Garriga, La"
09-08-089,Gavà
09-08-090,Gaià
09-08-091,Gelida
09-08-092,Gironella
09-08-093,Gisclareny
09-08-094,"Granada, La"
09-08-095,Granera
09-08-096,Granollers
09-08-097,Gualba
09-08-098,Sant Salvador de Guardiola
09-08-099,Guardiola de Berguedà
09-08-100,Gurb
09-08-101,"Hospitalet de Llobregat, L'"
09-08-102,Igualada
09-08-103,Jorba
09-08-104,"Llacuna, La"
09-08-105,"Llagosta, La"
09-08-106,Llinars del Vallès
09-08-107,Lliçà d'Amunt
09-08-108,Lliçà de Vall
09-08-109,Lluçà
09-08-110,Malgrat de Mar
09-08-111,Malla
09-08-112,Manlleu
09-08-113,Manresa
09-08-114,Martorell
09-08-115,Martorelles
09-08-116,"Masies de Roda, Les"
09-08-117,"Masies de Voltregà, Les"
09-08-118,"Masnou, El"
09-08-119,Masquefa
09-08-120,Matadepera
09-08-121,Mataró
09-08-122,Mediona
09-08-123,Molins de Rei
09-08-124,Mollet del Vallès
09-08-125,Montcada i Reixac
09-08-126,Montgat
09-08-127,Monistrol de Montserrat
09-08-128,Monistrol de Calders
09-08-129,Muntanyola
09-08-130,Montclar
09-08-131,Montesquiu
09-08-132,Montmajor
09-08-133,Montmaneu
09-08-134,Figaró-Montmany
09-08-135,Montmeló
09-08-136,Montornès del Vallès
09-08-137,Montseny
09-08-138,Moià
09-08-139,Mura
