denominacion,siglas
CONCEJU NACIONALIEGU CANTABRU,CNC
VOZ DEL PUEBLO ANDALUZ,VDPA
PARTIDO DEMOCRATICO DEL PUEBLO,PDEP
PLATAFORMA ESPAÑA 2000,PLA-ESP2000
FUERZA NUEVA,FN
AGRUPACION LIBERAL AUTONOMISTA Y SOCIAL,ALAS
CANDIDATURA INDEP. PARTIDO DE CASTILLA Y LEON,PCL
PARTIDO CARLISTA,EKA-PC
PARTIDO DEL KARMA DEMOCRATICO,PKD
UNION DEL PUEBLO ZAMORANO,UPZ
PARTIDO SOCIALISTA DEL PUEBLO DE CEUTA,PSPC
APROME NACIONALISTA,AN
BLOQUE LOCALISTA DE MELILLA,BLM
PP EN COALICION CON UPM,PP-UPM
MOVIMIENTO SOCIAL REPUBLICANO,MSR
ARALAR-ZUTIK,ARALAR-ZUTIK
FALANGE ESPAÑOLA DE LAS JONS,FE de las JONS
CENTRO DEMOCRATICO Y SOCIAL,CDS
DEMOCRACIA NACIONAL,DN
IZQUIERDA REPUBLICANA,IR
PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA,PSE-EE(PSOE)
PARTIDO FAMILIA Y VIDA,PFyV
CIUDADANOS EN BLANCO,CENB
FALANGE AUTENTICA,FA
BLOC NACIONALISTA VALENCIA-ESQUERRA VERDA,BLOC-EV
ESQUERRA REPUBLICANA DEL PAIS VALENCIA,ERPV
ESPAÑA 2000,ESPAÑA 2000
UNION CENTRISTA LIBERAL,UCL
PART. CANNABIS POR LA LEGALIZACION Y NORMALIZACION,P.CANNABIS
ESQUERRA UNIDA PAIS VALENCIA+I.REPUBLICANA:ENTESA,ENTESA
PARTIDO REPUBLICANO,PRF
"LOS VERDES-ECOPACIFISTAS, ELS VERDS-ECOPACIFISTES",LV-E
PARTIDO DE LOS TRABAJADORES EN PRECARIO,PTPRE
ASAMBLEA DE IZQUIERDAS-INICIATIVA POR ANDALUCIA,A-IZ
PARTIDO SOCIALISTA DE ANDALUCIA,PSA
PARTIDO COMUNISTA DEL PUEBLO CASTELLANO,PCPC-PCPE
PARTIDO DEL MUTUO APOYO ROMANTICO,PMAR
C. IZQUIERDA UNIDA-SOCIALISTAS IND. DE EXTREMADURA,IU-SIEX
UNIO CENTRISTES DE MENORCA,UCM
UNIO MALLORQUINA,UM
"PSM-ENTESA NACIONALISTA,ESQUERRA UNIDA,E.VERDS,ERC","PSM-EN,EU,EV,ER"
AGRUPACION SOCIAL INDEPENDIENTE,ASI
GRUPO VERDE EUROPEO,GVE
PARTIT FAMILIA I VIDA,PFiV
CONVERGENCIA i UNIO,CiU
ESCONS INSUBMISOS-ALT. DELS DEMOCRATES DESCONTENTS,Ei
INIC. PER CATALUNYA VERDS-ESQUERRA UNIDA I ALTERN.,ICV-EUiA
LLUITA INTERNACIONALISTA,L.I. (LIT-CI)
ELS VERDS-L'ALTERNATIVA ECOLOGISTA,EV-AE
FRENTE DEMOCRATICO ESPAÑOL,FDE
PARTIDO POSITIVISTA CRISTIANO,PPCr
UNIDAD CASTELLANA,Ud Ca
IZQUIERDA REPUBLICANA-ESQUERDA REPUBLICANA GALEGA,IR-ERG
PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,PSdeG-PSOE
PARTIT HUMANISTA DE CATALUNYA,PHC
PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,PSOE de A
GRUPO POLITICO HONRADEZ ABSOLUTA ESPAÑOLA,GPHAE
IZQUIERDA UNIDA-LOS VERDES,IU-LV
LOS VERDES DE LA COMUNIDAD DE MADRID,LVCM
ALIANZA POR LA UNIDAD NACIONAL,AUN
OTRA DEMOCRACIA ES POSIBLE,OtraDem
ALIANZA PARA EL DESARROLLO Y LA NATURALEZA,ADN
PARTIDO DEMOCRATA NACIONAL DE ESPAÑA,PDN
CONVERGENCIA CIUDADANA DEL SURESTE,CCSE
PARTIDO NACIONAL DE LOS TRABAJADORES,PNT
"NAFARROA BAI",Na-Bai
IZQUIERDA ASTURIANA,IAS
CONVERGENCIA DEMOCRATICA ASTURIANA Y CDS,CDAS CDS
IZQUIERDA UNIDA BLOQUE POR ASTURIES,IU-BA
ALTERNATIVA POPULAR CANARIA,APCa
ALTERNATIVA MAGA NACIONALISTA,AMAGA
ALTERNATIVA POR GRAN CANARIA,AxGC
INICIATIVA LOS VERDES-IZQUIERDA UNIDA-AL.CIUDADANA,VERDES-IUC-AC25
UNION DEL PUEBLO SALMANTINO,UPSa
PARTIDO DE LA GENTE,LG
PARTIDO NACIONALISTA CANARIO,PNC
PARTIDO SOCIAL-DEMOCRATA ANDALUZ,PSDA
INICIATIVA POR EL DESARROLLO DE SORIA,I.DE.S.
PARTIT CARLI DE CATALUNYA,PCdeC
IDENTIDAD REINO DE VALENCIA,IRV
P.SOCIALDEMOCRATA IND. DE LA COMUNITAT VALENCIANA,PSICV
CAND. INDEPENDIENTE-EL PARTIDO DE CASTILLA Y LEON,CI
ZAMORA UNIDA,ZU
PARTIDO CARLISTA,PCA
PARTIDO FAMILIA Y VIDA,FyV
DEMOCRACIA NACIONAL,D.N.
ALTERNATIVA ESPAÑOLA,AES
ARALAR,aralar
PARTIDO CARLISTA DE EUSKALHERRIA-EUSKALHERRIKO KARLISTA ALDERDIA,PARTIDO CARLISTA-EKA
ALTERNATIVA MOTOR Y DEPORTES,A.M.D.
EZKER BATUA-BERDEAK-ALTERNATIVA,EB-B
PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,P.C.P.E.-E.K.
PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,P.A.C.M.A
UNION PROGRESO Y DEMOCRACIA,UPyD
PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA,PSE-EE (PSOE)
ALIANZA NACIONAL,AuN
POR UN MUNDO MAS JUSTO,PUM+J
CIUDADANOS-PARTIDO DE LA CIUDADANIA,C's
TIERRA COMUNERA,TC
PARTIDO SOCIAL DEMOCRATA,PSD
UNION PROGRESO Y DEMOCRACIA,UPD
FALANGE AUTENTICA,F.A.
ESPAÑA 2000,E-2000
PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,P.A.C.M.A.
PARTIDO POPULAR,P.P.
CIUDADANOS EN BLANCO,Cenb
ESQUERRA UNIDA DEL PAIS VALENCIA-IZQUIERDA REPUBLICANA: ESQUERRA UNIDA I REPUBLICANA,EUPV-IR
BLOC-INICIATIVA-VERDS,BLOC-IDPV-EV-EE
COALICIO VALENCIANA,CVa
LOS VERDES-ELS VERDS,LV-EV
CIUDADANOS EN BLANCO,CenB
REPRESENTACION CANNABICA NAVARRA,RCN-NOK
PER LA REPUBLICA VALENCIANA,plRV
OPCIO NACIONALISTA VALENCIANA,O.N.V.
PARTIDO CENTRISTAS,PCTR
ESQUERRA REPUBLICANA DEL PAIS VALENCIA-PAIS VALENCIA SI,ESQUERRA-PV
CENTRO DEMOCRATICO LIBERAL,C.D.L.
FALANGE ESPAÑOLA DE LAS JONS,F.E. de las J.O.N.S.
COALICION ANDALUCISTA,CA
PARTIDO DE ALMERIA,PdeAL
IZQUIERDA UNIDA-ALTERNATIVA,I.U.
CENTRO DEMOCRATICO ESPAÑOL,CDEs
COMUNION TRADICIONALISTA CARLISTA,CTC
FRENTE ESPAÑOL,FRENTE
ALTERNATIVA MOTOR Y DEPORTES,AMD
PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,PACMA
EXTREMADURA UNIDA,EXTREMADURA UNIDA
PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,P.C.P.E.
PARTIDO SOCIALISTA OBRERO ESPAÑOL,P.S.O.E.
ESQUERRA UNIDA - ELS VERDS,EU-EV
PARTIT ILLENC DE SES ILLES BALEARS,PIIB
ALIANÇA BALEAR,ABA
UNITAT PER LES ILLES,UNITAT PER LES ILLES
PARTIT PER CATALUNYA,PxCat
PARTIT OBRER SOCIALISTA INTERNACIONALISTA,P.O.S.I.
PARTIDO DE LAS LIBERTADES CIVILES,PLCI
PARTIDO DE LOS PENSIONISTAS EN ACCION,PDLPEA
LLUITA INTERNACIONALISTA,L.I.(LIT-CI)
PARTIT CARLI DE CATALUNYA,P. C. de C.
ESQUERRA REPUBLICANA DE CATALUNYA,ESQUERRA
ELS VERDS-LOS VERDES,EV-LV
PARTIT REPUBLICA CATALA,RC
ALIANZA NACIONAL,A.u.N.
SOLIDARIDAD Y AUTOGESTION INTERNACIONALISTA,SAIn
AGRUPACION CIUDADANA,AGRUCI
INICIATIVA CIUDADANA BURGALESA,I.C.Bur
PARTIDO SOCIAL DEMOCRATA,P.S.D.
ALIANZA POR BURGOS,AxB
INICIATIVA MERINDADES DE CASTILLA,I.M.C.
COMUNION TRADICIONALISTA CARLISTA,C.T.C.
FALANGE ESPAÑOLA DE LAS JONS,FE DE LAS JONS
BLOC-INICIATIVA-VERDS,BLOC-IdPV-EV-EE
FALANGE ESPAÑOLA DE LAS JONS,FE-JONS
PER LA REPUBLICA VALENCIANA,PLRV
UNIDAD CASTELLANA,Ud. Ca.
LOS VERDES,LOS VERDES
BLOQUE NACIONALISTA GALEGO,B.N.G.
ASAMBLEA DE VOTACION ELECTRONICA,AVE
INDEPENDIENTES POR CUENCA,ixC
FRENTE ESPAÑOL,F.E.
PARTIT COMUNISTA DEL POBLE DE CATALUNYA,P.C.P.C.
CIUDADANOS EN BLANCO,CNB
ELS VERDS-ALTERNATIVA VERDA,E.V.-A.V.
LLUITA INTERNACIONALISTA,(LI(LIT-CI))
PARTIDO REGIONALISTA DE GUADALAJARA,P.R.GU.
CENTRO DEMOCRATICO ESPAÑOL,C.D.Es.
PARTIDO CARLISTA,P.C.
PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS INDEPENDIENTES DE ARAGON,PSD-FIA
LOS VERDES-GRUPO VERDE,L.V.
PARTIDO CIUDADANOS UNIDOS DE ARAGON,pCUA
PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,PSOE-A
LOS VERDES DE EUROPA,LOS VERDES DE EUROPA
PARTIDO UNIONISTA ESTADO DE ESPAÑA,P.U.E.D.E.
GENTES DE EL BIERZO,PB-UB
ESCONS INSUBMISOS ALTERNATIVA DELS DEMOCRATES DESCONTENTS,EI-ADD
CIUDADANOS-PARTIDO DE LA CIUDADANIA,"C,S"
PARTIT DELS SOCIALISTES DE CATALUNYA,PSC (PSC-PSOE)
LLUITA INTERNACIONALISTA,LI-LITCI
PARTIT HUMANISTA,P.H.
PARTIT CARLI DE CATALUNYA,PCaC
PARTIDO RIOJANO,PARTIDO RIOJANO
ALTERNATIVA EN BLANCO,ABLA
PARTIDO COMUNISTA DO POVO GALEGO,P.C.P.G.
CENTRO DEMOCRATICO SOCIAL,C.D.S.
PARTIDO LIBERAL DEL EMPLEO Y LA VIVIENDA ESTATAL,P.L.E.V.E.
PARTIDO DE ALIANZA IBEROAMERICANA EUROPEA,PAIE
UNION POR LEGANES,ULEG
PARTIDO SOLIDARIDAD Y AUTOGESTION INTERNACIONALISTA,SAIN
LOS VERDES COMUNIDAD DE MADRID-LOS VERDES DE EUROPA,LVCM-LVE
PARTIDO DE LOS NO-FUMADORES,PNF (NO-FUMADORES)
IZQUIERDA UNIDA COMUNIDAD DE MADRID-ALTERNATIVA,IU-CM.
PARTIDO UNIONISTA ESTADO DE ESPAÑA,PUEDE
PARTIDO HACHE,PHache
PARTIDO CENTRISTAS,Centristas PCTR
IZQUIERDA UNIDA DE LA REGION DE MURCIA-ALTERNATIVA,I.U.R.M.
PARTIDO CARLISTA,PARTIDO CARLISTA
PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA-EUSKAL KOMUNISTAK,PCPE - EK
"NAFARROA BAI","NA-BAI"
CENTRO DEMOCRATICO LIBERAL,CDL
PARTIDO COMUNISTA DO POBO GALEGO,PCPG
UNIDA,UNIDA
IZQUIERDA UNIDA - BLOQUE POR ASTURIES - LOS VERDES,IU-B.A-LOS VERDES
MOVIMIENTO FALANGISTA DE ESPAÑA,M.F.E.
CONVERGENCIA DEMOCRATICA ASTURIANA,CDAS
COALICION CANARIA-PARTIDO NACIONALISTA CANARIO-PARTIDO DE INDEPENDIENTES DE LANZAROTE,CC-PNC-PIL
UNIDAD DEL PUEBLO,UNIDAD DEL PUEBLO
MOVIMIENTO POR LA UNIDAD DEL PUEBLO CANARIO,MUPC
ALTERNATIVA NACIONALISTA CANARIA,ANC
NUEVA CANARIAS-CENTRO CANARIO,NC-CCN
OS VERDES - GRUPO VERDE,OV
UNION CIUDADANA PROGRESISTAS INDEPENDIENTES DE CANARIAS,UCPIC
COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CC-PNC
ALTERNATIVA EN BLANCO,aBla
ESQUERRA REPUBLICANA DE CATALUNYA,esquerra
NOSALTRES SOM,N som
OPCIO NACIONALISTA VALENCIANA,ONV
UNIDAD REGIONALISTA DE CASTILLA Y LEON,U.R.C.L.
PARTIDO CARLISTA DE EUSKALERRIA-PARTIDO CARLISTA,EKA-PC.
FRENTE ESPAÑOL,F.E
EQUO,EQUO
AMAIUR,AMAIUR
EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,E.A.J.-P.N.V.
UNIFICACIÓN COMUNISTA DE ESPAÑA,U.C.E.
IZQUIERDA UNIDA DE CASTILLA-LA MANCHA-LOS VERDES: LA IZQUIERDA PLURAL,IUCLM-LV
ESCAÑOS EN BLANCO,Eb
FORO CENTRO Y DEMOCRACIA,CYD
REPUBLICANOS,RPS
ESQUERRA UNIDA DEL PAIS VALENCIA-LOS VERDES: L'ESQUERRA PLURAL,EUPV-LV
BLOC-INICIATIVA-VERDS-EQUO-COALICIÓ COMPROMÍS,COMPROMÍS-Q
ANTICAPITALISTAS,ANTICAPITALISTAS
PARTIDO REGIONALISTA POR ANDALUCIA ORIENTAL,PRAO
DEMOS EL CAMBIO,DeC
IZQUIERDA UNIDA DE CASTILLA Y LEON: LA IZQUIERDA PLURAL (IUCL),IUCL
HARTOS.ORG,HARTOS.ORG
PARTIDO POPULAR-EXTREMADURA UNIDA,P.P-E.U.
IZQUIERDA UNIDA VERDES-SOCIALISTAS INDEPENDIENTES DE EXTREMADURA: LA IZQUIERDA PLURAL,IU-VERDES-SIEX: La Izquierda Plural
CONVERGENCIA POR EXTREMADURA,CEx
PSM-INICIATIVA VERDS-ENTESA-EQUO,PSM-IV-EXM-EQUO
ESQUERRA UNIDA ILLES BALEARS: LA IZQUIERDA PLURAL,EUIB
ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ,ERC-RI.cat
ANTICAPITALISTES,ANTICAPITALISTES
PIRATES DE CATALUNYA,PIRATA.CAT
PLATAFORMA PER CATALUNYA,PxC
CIUDADANOS DE CENTRO DEMOCRÁTICO,CCD
PARTIDO DE CASTILLA Y LEÓN,PCAL
IZQUIERDA UNIDA VERDES-SOCIALISTAS INDEPENDIENTES DE EXTREMADURA: LA IZQUIERDA PLURAL,IU-V-SIEX: LA IZQUIERDA PLURAL
PARTIDO POPULAR-EXTREMADURA UNIDA,PP-EU
PARTIDO DE INTERNET,INTERNET
PARTIDO PIRATA,PIRATA
ESQUERRA UNIDA PAÍS VALENCIÀ-ELS VERDS: L'ESQUERRA PLURAL,EUPV-EV
UNIFICACIÓN COMUNISTA DE ESPAÑA,UCE
CONVERXENCIA VINTEÚN,C.XXI
ESQUERDA UNIDA-OS VERDES: A ESQUERDA PLURAL,EU-V
PARTIDO CASTELLANO,PCAS
BIDEZKO MUNDURANTZ/POR UN MUNDO MÁS JUSTO,PU M+J
"CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, LA IZQUIERDA DE ARAGÓN: LA IZQUIERDA PLURAL",CHA-IU
PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS,PP-PAR
PARTIDO ANDALUCISTA,P.A.
ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ,ERC - RI.cat / ESQUERRA
PARTIDO DE LA LIBERTAD INDIVIDUAL,P-LIB
FORO DE CIUDADANOS,FAC
ACCION CIUDADANA POR MALAGA,ACIMA
PARTIDO PARA LA REGENERACION DE LA DEMOCRACIA EN ESPAÑA,P.R.D.E.
MUERTE AL SISTEMA,+MAS+
IZQUIERDA UNIDA-VERDES DE LA REGION DE MURCIA: LA IZQUIERDA PLURAL,IUV-RM
DERECHA NAVARRA Y ESPAÑOLA,DNE
IZQUIERDA-EZKERRA/LA IZQUIERDA PLURAL,IZQUIERDA-EZKERRA
GEROA BAI,GBAI
EQUO,eQuo
CONVERXENCIA VINTEÚN,CXXI
IZQUIERDA UNIDA DE ASTURIAS-IZQUIERDA XUNIDA D'ASTURIES:LA IZQUIERDA PLURAL,IU-IX
PARTIDO DEMOCRATICO Y CONSTITUCIONAL,PDYC
ANDECHA ASTUR,ANDECHA
COALICIÓN CANARIA-NUEVA CANARIAS,CC-NC-PNC
CANARIAS VERDE Y ROJA: LA IZQUIERDA PLURAL,IUC-CxI
HIGIENE DEMOCRATICA,H.D.
IZQUIERDA UNIDA DE CASTILLA Y LEÓN: LA IZQUIERDA PLURAL,IU CyL
"SÍ SE PUEDE, SOCIALISTAS POR TENERIFE, EQUO",SSP-SxTF-EQUO
IZQUIERDA UNIDA CANARIA-INICIATIVA POR EL HIERRO-LOS VERDES: LA IZQUIERDA PLURAL,IUC-IpH-LV
"BASTA YA, AGRUPACIÓN ABIERTA DE PARTIDOS POLÍTICOS",BASTA YA
PARTIDO REGIONALISTA DE CANTABRIA,P.R.C.
IZQUIERDA UNIDA DE CASTILLA Y LEON: LA IZQUIERDA PLURAL (IUCL),IUCyL
PARTIT REPUBLICÀ D'ESQUERRA-REPUBLICANS,PRE-R
SOCIALISTAS POR TERUEL,SXT
UNION DE CIUDADANOS INDEPENDIENTES DE TOLEDO,U.C.I.T.
IZQUIERDA UNIDA DE CASTILLA-LA MANCHA-LOS VERDES: LA IZQUIERDA PLURAL,IUCM-LV
UNITS X VALENCIA,UxV
ESCAÑOS EN BLANCO/ESCONS EN BLANC,EB
COALICION CABALLAS,Caballas
IZQUIERDA UNIDA - PARTIDO DEMOCRÁTICO Y SOCIAL DE CEUTA: LA IZQUIERDA PLURAL,IU-PDSC
PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (P,PSE-EE (PSO
RECORTES CERO-GRUPO VERDE,RECORTES CE
UNIDAD POPULAR- ORAIN BATERA:EZKER ANITZA-IZQUIERD,IU-UPeC
PODEMOS-AHAL DUGU,PODEMOS-AHA
ONGI ETORRI,OE
LIBERTAD NAVARRA-LIBERTATE NAFARRA,Ln
UNIÓN PROGRESO Y DEMOCRACIA,UPYD
EUSKAL HERRIA BILDU,EH Bildu
ESCAÑOS EN BLANCO - AULKI ZURIAK,EB - AZ
PARTIDO LIBERAL DE DERECHAS,PLD
VOX,VOX
"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",UP-UPeC
PODEMOS,PODEMOS
FORO DEMÓCRATA,FDEE
"UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, U",EUPV-UPeC
"ARA, PAÍS VALENCIÀ",ARAPV
COMPROMÍS-PODEMOS-ÉS EL MOMENT,PODEMOS-COM
SOM VALENCIANS,SOMVAL
LOS VERDES-ECOPACIFISTAS,CENTRO MODE
FALANGE ESPAÑOLA DE LAS JONS,FE de las J
UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCA,"IULV-CA,UPe"
CIUDADANOS-PARTIDO DE LA CIUDADANÍA,C´s
EXTREMADURA UNIDA-EXTREMEÑOS,EU-eX
"UNITAT POPULAR BALEARS: IZQUIERDA UNIDA, UNIDAD PO",UPB: IU-UPe
EL PI - PROPOSTA PER LES ILLES,EL PI
MÉS,MÉS
UNIÓ DEMOCRÀTICA DE CATALUNYA,unio.cat
EN COMÚ PODEM,EN COMÚ
ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ,ERC-CATSÍ
DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES.,DL
INICIATIVA FEMINISTA,IFem
UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCA,"IULV-CA, UP"
COMPROMÍS-PODEMOS-ÉS EL MOMENT,PODEMOS - C
PARTIDO COMUNISTA OBRERO ESPAÑOL,PCOE
NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG),NÓS
EN MAREA,PODEMOS-En
PARTIDO DA TERRA,PT
UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES - CONVO,UP: IULV-CA
PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (P,PSE-EE
PODEMOS-Ahora Alto Aragón en Común,PODEMOS-Aho
"UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA, CHUNTA",IU-CHA-UPeC
INDEPENDIENTES POR ARAGÓN,Independien
CIUDADANOS LIBRES UNIDOS,CILUS
ANDALUCES DE JAÉN UNIDOS,AJU
CIUDADANOS RURALES AGRUPADOS,CRA
ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ,ERC-CATSI
EN MAREA,PODEMOS-EN
X LA IZQUIERDA-LOS VERDES,X LA IZQUIE
SOLUCIONA,SOLUCIONA
MÁLAGA POR SÍ,mlgXSÍ
"UNIDAD POPULAR: UNIDAD POPULAR EN COMÚN, IZQUIERDA",UPeC-IU
"UNIDAD POPULAR-ORAIN BATERA:IZQUIERDA UNIDA, BATZA",IU-B-UPeC
X A ESQUERDA,X ESQ
PARTIDO POPULAR-FORO,PP-FORO
